description_1,description_2,similarity_score
green leaves on a brown branch,Green leaves on a brown branch,1.0
red and yellow stripes,Green and yellow stripes,0.92354345
red and yellow stripes,Red and green vertical stripes.,0.9086585
red and yellow stripes,red and green stripes,0.9453347
a pink flower with a green stem,a tall pink flower with green stem and leaves,0.9260814
a pink flower with a green stem,a single large pink flower with green stem and leaves,0.90400493
a pink flower with a green stem,a pink flower with a brown stem,0.9036218
a pink flower with a green stem,a pink flower with green stem,0.9975604
black shoes with white laces,Black shoes with white laces,1.0000001
green and yellow concentric circles,concentric green circles,0.92662
green and yellow concentric circles,blue and yellow concentric circles,0.91289693
green and yellow concentric circles,red and yellow concentric circles,0.91322064
green and yellow concentric circles,green concentric circles,0.925547
green and yellow concentric circles,concentric yellow and orange circles,0.91341573
green and yellow concentric circles,concentric blue and yellow circles,0.90426403
a brown dog with a wagging tail,a brown dog wagging its tail,0.96068454
a stack of purple books,a stack of five purple books,0.92894864
a stack of purple books,A stack of purple books.,0.9850266
a stack of purple books,A stack of purple books,1.0
a stack of purple books,a stack of purple and white books,0.95294
a stack of purple books,a stack of three purple books,0.9434
a golden key on a velvet cushion,a silver key on a velvet cushion,0.91975343
a golden key on a velvet cushion,A silver key on a velvet cushion.,0.91743845
blue waves crashing on a sandy shore,a blue wave crashing on a sandy shore,0.9687886
blue waves crashing on a sandy shore,Blue waves crashing on a sandy beach at sunset,0.91395855
blue waves crashing on a sandy shore,a blue wave crashing on a sandy beach,0.93327105
blue waves crashing on a sandy shore,deep blue waves crashing on a sandy shore,0.967734
blue waves crashing on a sandy shore,navy blue waves crashing on a sandy shore,0.9474405
blue waves crashing on a sandy shore,blue waves crashing on a sandy beach at sunset,0.91395855
blue waves crashing on a sandy shore,deep blue waves crashing on a sandy beach,0.9356453
blue waves crashing on a sandy shore,blue waves crashing on a brown shore,0.9406042
blue waves crashing on a sandy shore,blue waves crashing on a shore,0.9583667
blue waves crashing on a sandy shore,light blue waves crashing on a sandy shore,0.98699546
a cluster of green grapes,a cluster of green grapes on a vine,0.9540396
orange and blue striped socks,orange and black striped socks,0.9608587
orange and blue striped socks,blue and red striped socks,0.9140948
orange and blue striped socks,Red and blue striped socks,0.90900195
orange and blue striped socks,blue and green striped socks,0.9232378
orange and blue striped socks,pink and orange striped socks,0.940662
orange and blue striped socks,orange and white striped socks,0.96046287
a pink flower in a brown pot,a pink flower in a pot,0.9084135
A silver teapot with intricate carvings,a silver teapot with intricate engravings,0.9370967
A silver teapot with intricate carvings,a silver teapot with intricate carvings,1.0000002
Three overlapping orange squares,Two overlapping orange squares.,0.91211987
Three overlapping orange squares,two overlapping orange squares,0.92758316
Three overlapping orange squares,Three overlapping orange squares.,0.9762246
A tangled mess of black lines,a tangled mess of black lines,1.0000001
A single large white snowflake,a white snowflake,0.90007854
Checkerboard pattern in purple and white,orange and purple checkerboard pattern,0.9201442
A bright yellow sun setting over blue waves,a bright yellow sun over blue waves,0.96545094
A bright yellow sun setting over blue waves,a bright yellow sun setting over blue waves,0.9999999
Three red circles arranged in a triangle,three red triangles arranged in a circle,0.94579387
Three red circles arranged in a triangle,three red circles arranged in a triangle,0.9999999
A single large purple star,A single purple star.,0.9175284
Overlapping gray and black rectangles,several overlapping gray rectangles,0.92344964
Overlapping gray and black rectangles,two overlapping grey rectangles,0.9023471
A blue bird sitting on a white cloud,a blue bird on a white cloud,0.94732285
A gradient from light blue to dark blue,a gradient from light blue to dark blue,1.0000002
A gradient from light blue to dark blue,a gradient from dark blue to light blue,0.9983551
A gradient from light blue to dark blue,A gradient transitioning from light blue to dark blue,0.9317657
A gradient from light blue to dark blue,A gradient from light blue to dark blue.,0.94294333
a green wavy line,A green wavy line.,0.9840591
a green wavy line,A green wavy line,1.0
a green wavy line,A wavy green line under a straight yellow line.,0.9087485
a green wavy line,a wavy green line,0.996225
a green wavy line,A single green wavy line.,0.9565619
red and black horizontal stripes,Red and black diagonal stripes,0.92880243
red and black horizontal stripes,red and black vertical stripes,0.97597384
scattered pink dots,Pink dots scattered across a gray surface.,0.90056694
scattered pink dots,"Several small, scattered pink dots",0.941313
a grid of small blue triangles,Blue triangles arranged in a grid,0.90646255
a red star on a black background,a bright red star on a black background,0.976681
a yellow lightning bolt,A yellow lightning bolt shape,0.9272225
three purple triangles in a row,three purple triangles arranged in a row,0.9666085
three purple triangles in a row,three purple triangles stacked,0.90426666
concentric grey circles,concentric circles in shades of grey,0.9268758
a pink spiral,A single pink spiral,0.9580263
a pink spiral,A pink spiral shape.,0.92493695
A yellow square with a black border,a yellow square with a green border,0.94252616
A yellow square with a black border,a yellow square with a black border,1.0000001
A pink wavy line,A thick pink wavy line.,0.9541606
A pink wavy line,pink wavy lines,0.9057565
Two brown rectangles stacked vertically,two brown rectangles stacked vertically,1.0000001
Two brown rectangles stacked vertically,brown rectangles stacked vertically,0.92966616
A grey checkered pattern,a checkered pattern of black and gray,0.9049222
A grey checkered pattern,a checkered pattern of grey and white,0.93564796
A grey checkered pattern,a checkered pattern in gray and white,0.94823813
A red circle within a green square,a red square with a green circle inside,0.9537267
A silver star on a black background,a silver star on a black background,1.0
A silver star on a black background,A silver star on a black background.,0.98759216
A silver star on a black background,a silver star against a black background,0.9691927
A silver star on a black background,a silver star against a dark blue background,0.9010175
A single brown spiral,A brown spiral,0.95604664
A single brown spiral,a brown spiral,0.95604664
A single brown spiral,A single brown spiral.,0.977742
Pink dots scattered across a gray surface,Pink dots scattered on a gray surface,0.9924506
Intersecting yellow and green circles,intersecting green and blue circles,0.9177576
A checkerboard pattern of magenta and cyan squares,A checkerboard pattern of cyan and magenta squares,0.9950905
A field of sunflowers under a clear blue sky.,a field of sunflowers under a bright sky,0.9215069
A field of sunflowers under a clear blue sky.,a field of sunflowers under a clear blue sky,0.99414444
A field of sunflowers under a clear blue sky.,a field of golden sunflowers under a blue sky,0.92822564
A field of sunflowers under a clear blue sky.,a field of sunflowers under a blue sky,0.9842385
A field of sunflowers under a clear blue sky.,A field of sunflowers under a blue sky.,0.99124056
A field of sunflowers under a clear blue sky.,a field of sunflowers under a clear sky,0.9480394
A field of sunflowers under a clear blue sky.,a field of sunflowers under a bright blue sky,0.984186
A field of sunflowers under a clear blue sky.,a field of sunflowers under a sunny sky,0.9149715
A simple black cat silhouette.,a black cat silhouette,0.96534896
A simple black cat silhouette.,a simple black silhouette of a cat,0.97664165
A simple black cat silhouette.,a simple black cat silhouette,0.983405
A blue circle on a white background.,a large blue circle on a white background,0.93482786
A stack of three blue books.,a stack of blue books,0.9157466
A stack of three blue books.,a stack of three blue books,0.9905391
a bright red sphere on a checkered blue and yellow plane,a bright red sphere on a checkered plane,0.95272183
a bright red sphere on a checkered blue and yellow plane,A vibrant red sphere on a checkered blue and yellow plane,0.9681952
a calm blue lake surrounded by pine trees,a calm blue lake surrounded by dark green trees,0.9024477
a calm blue lake surrounded by pine trees,A calm blue lake surrounded by green trees,0.9047919
a calm blue lake surrounded by pine trees,a calm blue lake surrounded by green trees,0.9047919
a calm blue lake surrounded by pine trees,a tranquil blue lake surrounded by pine trees,0.94863343
"a stack of colorful books: red, blue, and yellow",stack of colorful books,0.90396094
"a stack of colorful books: red, blue, and yellow","a stack of colorful books: red, blue, green",0.97240543
"a stack of colorful books: red, blue, and yellow","a stack of three colorful books (red, green, blue)",0.9061016
"a stack of colorful books: red, blue, and yellow","a stack of colorful books (red, green, blue)",0.9558866
"a stack of colorful books: red, blue, and yellow",a stack of red and blue books,0.90490985
a wooden chair with a green cushion,a wooden chair with a green seat,0.9267124
a golden key with intricate carvings,an antique gold key with intricate carvings,0.9058403
a yellow star on a black background,A yellow star on a black background,1.0000001
a yellow star on a black background,a large yellow star on a dark background,0.9259378
a yellow star on a black background,a single yellow star on a black background,0.972654
a yellow star on a black background,A single yellow star on a black background,0.972654
a yellow star on a black background,a single black star on a yellow background,0.9567816
a yellow star on a black background,A yellow star with black outlines.,0.90190804
a yellow star on a black background,a yellow star in a black sky,0.9127308
a yellow star on a black background,a bright yellow star against a dark blue background,0.9130578
two parallel purple lines,purple and orange parallel lines,0.9330336
two parallel purple lines,parallel purple and black lines,0.928957
two parallel purple lines,Parallel purple lines,0.9686265
a grayscale gradient from white to black,A gradient from black to white,0.91324365
a grayscale gradient from white to black,a gradient from black to white,0.91324353
a grayscale gradient from white to black,a simple gradient from black to grey,0.9190233
a grayscale gradient from white to black,a gradient from white to gray,0.9394001
a grayscale gradient from white to black,a gradient from white to black,0.91344947
a grid of small blue squares,A grid of dark blue squares.,0.93449575
a grid of small blue squares,a grid of blue squares,0.97120106
a grid of small blue squares,Light blue squares arranged in a grid.,0.9056649
a grid of small blue squares,blue squares in a grid,0.9305117
a single thick orange line,A single orange line.,0.9151194
a single thick orange line,a single orange line,0.9385235
a large pink oval,a pink oval,0.9292132
a red circle on a yellow square,A yellow square in a green circle,0.9003096
a red circle on a yellow square,a red square and a yellow circle,0.9670424
a green field with a single tree,a green tree in a field,0.9054516
a starry night sky with a crescent moon,a starry sky with a crescent moon,0.97945565
a starry night sky with a crescent moon,a starry night sky with a prominent moon,0.9024044
a brown wooden table with a red vase,A brown wooden table with a blue vase,0.9249096
a brown wooden table with a red vase,a brown wooden table with a green vase,0.94503754
a brown wooden table with a red vase,a brown wooden table with a single white vase,0.9114332
a yellow flower in a green pot,a yellow flower in a blue pot,0.9050015
"a stack of three books: red, blue, and green","a stack of three books, red, blue, and green from bottom to top",0.9117452
"a stack of three books: red, blue, and green","a stack of three different colored books: red, blue, and green",0.97019833
"a stack of three books: red, blue, and green","A stack of three books: red, blue, and green.",0.9926327
"a stack of three books: red, blue, and green","a stack of three different colored books: red, green, and blue",0.9694139
A bright red sphere floating in a blue void,A vibrant red sphere floating in a blue void,0.97464675
A bright red sphere floating in a blue void,A vibrant red sphere floating in a blue void.,0.9550446
A bright red sphere floating in a blue void,a vibrant red sphere floating in a deep blue void,0.96876013
A bright red sphere floating in a blue void,a vibrant red sphere floating in a blue void,0.97464675
A bright red sphere floating in a blue void,a bright red sphere floating in a blue void,1.0
A bright red sphere floating in a blue void,a red sphere floating in a blue void,0.9746715
A bright red sphere floating in a blue void,A blue sphere floating in a green void.,0.9049195
A bright red sphere floating in a blue void,A red sphere floating in a blue void.,0.9645593
A bright red sphere floating in a blue void,a vibrant red sphere floating in a black void,0.9214606
A bright red sphere floating in a blue void,a bright yellow sphere floating in a blue void,0.907724
A bright red sphere floating in a blue void,a blue sphere floating in a red void,0.96036977
A bright red sphere floating in a blue void,a blue sphere floating in a green void,0.9009354
A bright red sphere floating in a blue void,a red sphere floating in a green void,0.91615605
Pink and purple striped pattern,a pink and orange striped pattern,0.9162277
Pink and purple striped pattern,purple and orange striped pattern,0.92428195
Pink and purple striped pattern,a striped pattern in pink and white,0.914291
Pink and purple striped pattern,Orange and purple striped pattern,0.90435064
Pink and purple striped pattern,pink and white striped pattern,0.94908345
Brown wooden texture,A brown wooden texture,0.9588039
Brown wooden texture,a brown wooden texture,0.9588039
Brown wooden texture,Brown wooden texture with visible grain,0.92484915
Brown wooden texture,brown wooden texture,0.99999994
Brown wooden texture,A brown wooden texture.,0.91410935
Brown wooden texture,dark brown wooden texture,0.9617448
Brown wooden texture,a rustic brown wooden texture,0.9212127
a silver sphere on a golden pedestal,a silver sphere on a gold pedestal,0.9654486
a silver sphere on a golden pedestal,a silver sphere on a green pedestal,0.9038086
a silver sphere on a golden pedestal,a golden sphere on a silver pedestal,0.9949769
a silver sphere on a golden pedestal,a silver sphere on a blue pedestal,0.9065842
an orange and purple striped hot air balloon in the sky,a striped orange and white hot air balloon in the sky,0.9611162
a field of pink flowers under a blue sky,a field of pink flowers under a sunny sky,0.9330855
a field of pink flowers under a blue sky,a field of pink flowers under a clear blue sky,0.98941016
a field of pink flowers under a blue sky,a field of pink flowers under a clear sky,0.9539585
a single green tree on a small island in a lake,a single green tree on a small island in the middle of a blue lake,0.95480394
a vibrant sunset over a calm sea,a calm ocean at sunset,0.9043708
Red and green striped socks,red and black striped socks,0.95324755
Red and green striped socks,green and brown striped socks,0.92635095
Red and green striped socks,Red and black striped socks,0.95324755
Red and green striped socks,red and white striped socks,0.9508854
A stack of three brown boxes,Three stacked brown boxes,0.9474536
A stack of three brown boxes,three stacked brown boxes,0.9474536
A stack of three brown boxes,a stack of three differently sized brown boxes,0.96621686
A stack of three brown boxes,Three stacked brown boxes.,0.93641937
Orange and black checkerboard pattern,orange and black checkerboard pattern,1.0000001
Orange and black checkerboard pattern,a checkerboard pattern of orange and black,0.9490728
A blue wavy line on a white background,a blue wavy line,0.9103539
A blue wavy line on a white background,a wavy blue line,0.90509355
A blue wavy line on a white background,a wavy line of blue,0.90037984
Three small green triangles arranged in a row,three green triangles arranged in a row,0.9712057
Three small green triangles arranged in a row,Three green triangles arranged in a row,0.9712057
Three yellow triangles arranged in a line.,three yellow triangles,0.9018677
Three yellow triangles arranged in a line.,three yellow triangles arranged in a row,0.90447414
Three yellow triangles arranged in a line.,yellow triangles arranged in a line,0.907213
A single black star.,a black star,0.9108249
Overlapping pink and purple circles.,overlapping pink and purple circles,0.9575381
Overlapping pink and purple circles.,Overlapping orange and purple circles.,0.91939616
Overlapping pink and purple circles.,overlapping purple and pink circles,0.95367724
A grid of small blue dots.,A grid of small blue dots,0.982202
a silver sphere on a black pedestal,a silver sphere on a red pedestal,0.9229698
a silver sphere on a black pedestal,a shiny silver sphere on a black pedestal,0.94918317
a silver sphere on a black pedestal,A silver sphere on a red pedestal,0.9229698
three yellow triangles in a row,Three yellow triangles in a row,1.0
a large orange star,a single large orange star,0.9608387
a large orange star,A single large orange star.,0.94764495
a stack of purple rectangles,A stack of purple and gold rectangles,0.9019729
two overlapping pink ovals,two pink ovals next to each other,0.90549105
a grid of gray squares,a grey grid of squares,0.97233367
a grid of gray squares,a grid of small gray squares,0.97025466
a grid of gray squares,a grid of gray and black squares,0.96218616
a grid of gray squares,a grid of grey and white squares,0.9425347
a golden retriever playing fetch in a green park,a golden retriever playing fetch in a park,0.9440739
red and blue abstract shapes on a white background,blue abstract shapes on a white background,0.922065
a single yellow balloon floating in a clear sky,a yellow balloon in the sky,0.9151579
a stack of green books on a shelf,A stack of green books on a shelf,1.0000002
a stack of green books on a shelf,a stack of green books on a white shelf,0.97530156
brown leather shoes with black laces,brown leather boots with laces,0.9000961
blue geometric patterns on a dark background,dark blue geometric pattern,0.90478987
a red apple on a white plate,a bright red apple on a white plate,0.9743255
a red apple on a white plate,a green apple on a white plate,0.9072263
a single large purple spiral,a purple spiral,0.91587126
a gradient of yellow to orange,a gradient from orange to yellow,0.9839183
a gradient of yellow to orange,a vibrant gradient from yellow to orange,0.91125846
a gradient of yellow to orange,a gradient from yellow to orange,0.98653084
a bright red apple with a green leaf,A red apple with a green leaf,0.9625866
a bright red apple with a green leaf,a red apple on a green leaf,0.9496038
a bright red apple with a green leaf,a bright red apple with a single green leaf,0.9696039
a bright red apple with a green leaf,a red apple with a green leaf,0.96258664
a bright red apple with a green leaf,a vibrant red apple with a single green leaf,0.938165
a bright red apple with a green leaf,a bright red apple on a green leaf,0.9862055
a red heart shape,a red heart shape on a white background,0.90027535
a red heart shape,a simple red heart shape,0.97532415
A vibrant green spiral on a white background.,a vibrant green spiral,0.9051914
Three overlapping magenta triangles.,overlapping magenta triangles,0.9405149
A black circle with a white border.,a black circle with a white outline,0.9031551
A wavy purple line,a wavy purple line,0.9999999
A wavy purple line,wavy purple lines,0.91659284
A wavy purple line,"a thick, wavy purple line",0.96086025
A wavy purple line,purple wavy lines,0.9122406
A silver spiral,a silver spiral,1.0000001
Gold stars scattered on a black background,gold stars scattered on black,0.9662944
A gradient from blue to green,a gradient from light green to dark green,0.9014935
A gradient from blue to green,a gradient from blue to green,1.0
A gradient from blue to green,a gradient from blue to red,0.9149111
silver chains linked together,Silver chains linked together,1.0000002
a simple brown door with a silver handle,a brown wooden door with a silver handle,0.93368864
a yellow star next to a green moon,a yellow star behind an orange moon,0.91552544
a spiral of black dots,a spiral pattern of small black dots,0.93437386
a spiral of black dots,black dots in a spiral,0.9372932
a stack of three green cubes,three stacked green cubes,0.9547012
a white cat sitting on a red rug,A white cat sitting on a red rug,1.0
a white cat sitting on a red rug,a white cat sitting on a brown rug,0.9286579
a silver car with black wheels,a silver car with black tires,0.90559745
a vibrant orange sphere,an orange sphere,0.9187857
blue denim jeans with ripped knees,Denim jeans with ripped knees,0.96621644
blue denim jeans with ripped knees,black denim jeans with ripped knees,0.9517603
blue denim jeans with ripped knees,grey denim jeans with ripped knees,0.9511335
blue denim jeans with ripped knees,indigo denim jeans with ripped knees,0.936188
blue denim jeans with ripped knees,navy blue jeans with ripped knees,0.9535426
blue denim jeans with ripped knees,dark blue skinny jeans with ripped knees,0.95440793
blue denim jeans with ripped knees,dark denim jeans with ripped knees,0.94121134
a silver key on a wooden table,A silver key on a wooden table,1.0
a yellow rubber duck,a small yellow rubber duck,0.9648811
a yellow rubber duck,a bright yellow rubber duck,0.979316
a yellow rubber duck,a yellow rubber duck in water,0.9207053
purple abstract swirls,abstract purple swirls,0.9821342
three overlapping blue circles,Three overlapping blue circles,0.9999999
pink squares arranged in a grid,a grid of small pink squares,0.91852564
white clouds in a light blue sky,White clouds in a light blue sky,1.0000001
white clouds in a light blue sky,white clouds on a light blue sky,0.99127865
white clouds in a light blue sky,a large white cloud in a light blue sky,0.90014756
white clouds in a light blue sky,White clouds in a bright blue sky,0.9854497
white clouds in a light blue sky,white clouds in a clear blue sky,0.96962774
white clouds in a light blue sky,a blue sky with white clouds,0.93441623
white clouds in a light blue sky,a single white cloud in a blue sky,0.91311777
white clouds in a light blue sky,a single white cloud on a blue sky,0.91112536
white clouds in a light blue sky,sky blue and white clouds,0.9272265
white clouds in a light blue sky,white clouds in a blue sky,0.9893624
A dashed purple line,a dashed line in purple,0.98296213
Overlapping orange and pink rectangles,two overlapping orange rectangles,0.9197985
Overlapping orange and pink rectangles,overlapping purple and orange rectangles,0.9158461
a golden ring with a blue gem,A golden ring with a large blue diamond,0.90016985
a golden ring with a blue gem,A golden ring with a small blue gem.,0.95270216
green and yellow striped background,a green striped background,0.9224345
green and yellow striped background,yellow and green striped background,0.987783
a purple and orange striped flag,a striped purple and orange flag,0.9953985
a silver key on a black background,a silver key on a black surface,0.9001999
a silver key on a black background,a silver key on a red background,0.9158543
an abstract pattern of intersecting gray lines,abstract pattern of intersecting gray lines,0.9873508
an abstract pattern of intersecting gray lines,a pattern of intersecting grey lines,0.9317287
a white dove flying in a pink sky,a white dove flying in a clear blue sky,0.9239179
emerald green waves crashing on a sandy beach,emerald green waves crashing on a sandy shore,0.9582145
emerald green waves crashing on a sandy beach,Green waves crashing on a sandy beach.,0.9267627
a stack of brown leather books,A stack of leather-bound books,0.91116154
deep blue velvet curtains,Navy blue velvet curtains,0.9163603
deep blue velvet curtains,navy blue velvet curtains,0.91636026
a checkerboard floor made of black and white tiles,a checkerboard floor with black and white tiles,0.97262716
a stack of brown books,a stack of three brown books,0.92963254
a stack of brown books,A stack of brown books,1.0
a stack of brown books,A stack of brown books.,0.98813295
A vibrant red balloon floating in a clear blue sky,a bright red balloon floating in a blue sky,0.9672984
A vibrant red balloon floating in a clear blue sky,A single red balloon floating in a blue sky,0.921438
A vibrant red balloon floating in a clear blue sky,A bright red balloon floating in a blue sky,0.9672984
A stack of green and yellow books on a wooden table,a stack of colorful books on a wooden table,0.92216384
A stack of green and yellow books on a wooden table,A stack of green and brown books on a wooden table,0.94715583
A dark purple velvet curtain with gold fringe,A dark purple velvet curtain,0.91324794
A dark purple velvet curtain with gold fringe,a dark purple velvet curtain,0.9132479
A pair of brown leather boots with white laces,a pair of brown leather boots,0.925781
A starry night sky over a calm lake,A starry night over a calm lake,0.9266919
A starry night sky over a calm lake,A calm lake reflecting a starry sky,0.91454947
A starry night sky over a calm lake,a starry night sky over a calm lake,1.0
a small blue bird on a branch,a blue bird perched on a branch,0.91482365
a tall green tree in a field,a tall green tree in a brown field,0.93454176
a spiral of orange dots,a spiral made of small orange dots,0.9365083
a vintage brown leather briefcase,a vintage brown briefcase,0.9533466
a vintage brown leather briefcase,Dark brown leather briefcase,0.9425106
a vintage brown leather briefcase,brown leather briefcase,0.94956553
a vintage brown leather briefcase,a brown leather briefcase,0.96302164
a bright yellow star shape,a bright yellow star,0.90497696
a single green leaf with veins,a single green leaf with visible veins,0.98106873
a single green leaf with veins,A single green leaf with veins.,0.9873351
a single green leaf with veins,a vibrant green leaf with prominent veins,0.9169253
a single green leaf with veins,a vibrant green leaf with veins,0.93393135
a single green leaf with veins,a light green leaf with veins,0.95451874
a simple red heart outline,a red heart with a white outline,0.9128876
three overlapping gray squares,overlapping gray squares,0.9334869
three overlapping gray squares,Three overlapping gray squares.,0.9790451
a brown wooden table,a simple brown wooden table,0.9554145
golden rings intertwined,golden rings linked together,0.91123176
golden rings intertwined,three intertwined golden rings,0.9130468
interlocking teal hexagons,teal hexagons interlocking,0.97573
overlapping magenta and cyan circles,Cyan circles overlapping on a magenta plane.,0.92209566
overlapping magenta and cyan circles,overlapping cyan and magenta circles,0.98813474
overlapping magenta and cyan circles,magenta and cyan circles overlapping,0.98437345
overlapping magenta and cyan circles,cyan circles overlapping with magenta squares,0.91630006
Three overlapping blue triangles,Three overlapping blue triangles.,0.9824284
Three overlapping blue triangles,three overlapping blue triangles,1.0000002
An orange star on a black background,an orange star with a black outline,0.90062624
A single gray hexagon,a gray hexagon,0.9557539
a set of interlocking bronze rings,Bronze rings interlocked.,0.9018985
a set of interlocking bronze rings,interlocking bronze rings,0.93058044
a set of interlocking bronze rings,bronze interlocking rings,0.92530024
three overlapping pink triangles,Two overlapping pink triangles.,0.91181433
three overlapping pink triangles,Three overlapping pink triangles.,0.98013467
a dark gray stone wall,a gray stone wall,0.97393626
a dark gray stone wall,a grey stone wall,0.96729773
a dark gray stone wall,a simple grey stone wall,0.94544744
green velvet curtains,dark green velvet curtains,0.97549576
green velvet curtains,Emerald green velvet curtains,0.9334782
green velvet curtains,emerald green velvet curtains,0.9334782
golden stars scattered on a deep blue canvas,golden stars scattered on a dark blue background,0.90741056
a grid of cyan squares,cyan squares in a grid,0.9477974
a black cat sitting on a white mat,a white cat sitting on a black mat,0.9910548
a black cat sitting on a white mat,A black cat sitting on a red mat.,0.9149133
a black cat sitting on a white mat,A black cat sitting on a red mat,0.9116528
a black cat sitting on a white mat,a black cat sitting on a red mat,0.9116528
a black cat sitting on a white mat,a black cat sitting on a blue mat,0.91685534
a black cat sitting on a white mat,a black cat sitting on a yellow mat,0.91705036
a yellow triangle inside a green square,a yellow square surrounded by green triangles,0.94392556
parallel orange lines,Parallel orange lines,1.0000001
parallel orange lines,Two orange parallel lines.,0.932858
a teal wavy line,A single teal wavy line.,0.954549
a teal wavy line,two teal wavy lines,0.9075143
a checkered pattern of gold and white,a checkered pattern of black and gold,0.9052352
a teal crescent moon,a crescent moon,0.904932
a stack of yellow cubes,a stack of red and yellow cubes,0.94292516
an orange sunset over still water,an orange sunset over calm water,0.91545653
a crimson circle on a beige background,crimson circles on a beige background,0.92153764
a crimson circle on a beige background,a crimson circle on a white background,0.9067198
a dark-grey spiral on a white canvas,a black spiral on a white canvas,0.9473281
a stack of brown and tan rectangles,a stack of brown rectangles,0.907978
a silver key with an ornate handle,a silver key with a decorative handle,0.9611503
waves of light blue and white,blue and white waves,0.9570933
blue denim jeans,Blue denim jeans,1.0000002
blue denim jeans,light blue denim jeans,0.9670034
a red umbrella,a bright red umbrella,0.9547957
brown leather boots,Brown leather boots,1.0000004
brown leather boots,chestnut brown leather boots,0.9194852
brown leather boots,brown leather boots with red laces,0.90869826
an orange traffic cone,a tall orange traffic cone,0.93830574
an orange traffic cone,a bright orange traffic cone,0.97918797
Three yellow circles arranged in a triangle formation,three yellow circles arranged in a triangle,0.951724
A small brown wooden box,a brown wooden box,0.9537753
A single pink flower in a glass vase,Pink flowers in a glass vase,0.9133277
a white ceramic mug filled with black coffee,A white ceramic mug filled with coffee,0.9470831
green rolling hills under a clear sky,rolling green hills under a clear blue sky,0.93891156
green rolling hills under a clear sky,a rolling green hills under a cloudy sky,0.9228465
pink and brown striped socks,pink and white striped socks,0.95621675
pink and brown striped socks,pink and black striped socks,0.965394
a scarlet sphere on a cyan cube,a scarlet sphere on a vibrant cyan cube,0.96369386
teal and orange stripes,teal and gray stripes,0.90570664
teal and orange stripes,teal and gold stripes,0.9242363
a stack of green books,A stack of green and yellow books.,0.9203901
a stack of green books,A stack of three green books,0.9379016
a stack of green books,a stack of three green books,0.9379016
a stack of green books,A stack of green books,1.0000002
a stack of green books,a stack of blue and green books,0.93485034
a stack of green books,A stack of four green books.,0.9178925
a stack of green books,a stack of green and yellow books,0.93261266
a checkered pattern in purple and orange,a checkered pattern in orange and black,0.9219073
a tall green tree with red apples,a green tree with red apples,0.9418198
a transparent glass filled with orange juice,orange juice in a clear glass,0.9043263
An abstract pattern of overlapping green and orange circles,an abstract pattern of overlapping translucent orange and purple circles,0.90642726
An abstract pattern of overlapping green and orange circles,abstract pattern of overlapping orange and purple circles,0.9290106
An abstract pattern of overlapping green and orange circles,abstract pattern of overlapping orange and pink circles,0.9287732
Teal waves crashing on a sandy shore,teal waves crashing on a sandy shore,0.99999964
Teal waves crashing on a sandy shore,teal waves crashing on a sandy beach,0.9578726
Teal waves crashing on a sandy shore,teal waves crashing on a gold shore,0.91685593
An orange sun setting over a calm ocean,an orange sun setting over a blue ocean,0.9262536
An orange sun setting over a calm ocean,an orange sun setting over a grey ocean,0.9089148
An orange sun setting over a calm ocean,an orange sun setting over the ocean,0.9597672
A green leaf with dew drops,a single vibrant green leaf with dew drops,0.94071865
A green leaf with dew drops,a single green leaf with dew drops,0.9752996
a brown wooden table with four legs,brown wooden table with four legs,0.9878007
a brown wooden table with four legs,a simple brown wooden table with four legs,0.97217304
a tall orange cone,a single tall orange cone,0.9622209
a tall orange cone,an orange cone,0.9141698
a checkered pattern of black and gray squares,a checkered pattern of black and red squares,0.91388893
a checkered pattern of black and gray squares,A checkered pattern of light gray and dark gray squares.,0.91342515
a checkered pattern of black and gray squares,a checkered pattern of black and white squares,0.954837
a shiny silver sphere,a single shiny silver sphere,0.95725536
a grid of small red squares,A grid of dark red squares,0.94382906
a grid of small red squares,red squares in a grid,0.9264291
a purple circle with an orange border,a purple circle with a white border,0.9365017
a set of interlocking golden rings,interlocking golden rings,0.93804264
a pattern of blue and green stripes,a pattern of alternating blue and orange horizontal stripes,0.9203677
a pattern of blue and green stripes,a blue striped pattern,0.906084
red and black checkered shirt,Red and black checkered shirt,1.0
red and black checkered shirt,a red and black checkered shirt,0.96627986
an orange triangle next to a purple circle,a green triangle next to a purple circle,0.9191387
A golden sphere on a blue pedestal,a golden sphere on a blue pedestal,1.0000002
A purple velvet curtain,a purple velvet curtain,0.99999976
Bronze gears interlocking,bronze gears interlocking,0.99999976
a textured surface resembling rough gray concrete,"a texture of rough, gray concrete",0.94786036
red and blue interlocking rings,blue and green interlocking rings,0.94735193
a blue car driving on a road,a blue car on a road,0.9594437
a brown dog sitting on grass,a brown dog sitting on green grass,0.96783435
a brown dog sitting on grass,a brown dog sitting in grass,0.9792522
orange and black striped pattern,orange and blue striped pattern,0.9447957
orange and black striped pattern,orange and green striped pattern,0.9484854
orange and black striped pattern,orange and white striped pattern,0.947279
a winding gray road through a green valley,a winding road through a green valley,0.90476286
a striped pink and white umbrella,a pink and white striped umbrella,0.9973161
a striped pink and white umbrella,a pink and red striped umbrella,0.93661714
yellow abstract shapes on a black background,abstract shapes in yellow and black,0.9146069
a single brown leaf,a single brown leaf on the ground,0.9013774
red and white striped pattern,a striped pattern of red and white lines,0.90381753
a bright orange flower with green leaves,an orange flower with green leaves,0.9666569
